model,seed,wis_full_season,wis_overlap
EpiGNN,42,59.381,64.218
EpiGNN,123,307.008,362.717
EpiGNN,456,65.67,70.209
EpiGNN,777,82.595,92.459
EpiGNN,1,117.799,134.309
EpiGNN,2,200.515,231.492
EpiGNN,3,87.693,95.235
EpiGNN,4,58.765,64.556
EpiGNN,5,79.473,87.316
EpiGNN,6,61.516,67.788
EpiGNN,7,58.732,64.784
ColaGNN,42,50.745,58.887
ColaGNN,123,59.107,70.929
ColaGNN,456,64.091,75.203
ColaGNN,777,127.732,151.946
ColaGNN,1,56.086,64.542
ColaGNN,2,56.288,67.053
ColaGNN,3,55.651,62.815
ColaGNN,4,51.883,60.607
ColaGNN,5,63.109,69.527
ColaGNN,6,60.341,71.879
ColaGNN,7,58.03,69.489
